Progress,Duration (in seconds),DistributionChannel,Q_RecaptchaScore,Q89_First Click,Q89_Last Click,Q89_Page Submit,Q89_Click Count,consent,gender,age,race,ethnicity,educ,marstat,employstat,income,pid7,ideo5,religion,religion_important,1_select1,2_select1,3_select1,4_select1,5_select1,6_select1,7_select1,8_select1,9_select1,10_select1,ethnocentrism_1,ethnocentrism_2,ethnocentrism_3,ethnocentrism_4,ethnocentrism_5,monitor1,monitor2,monitor3,imm1,imm2,imm3,govtrust1,govtrust2,govtrust3,govtrust4,electiontrust1,electiontrust2,electiontrust3,choice1_gender1,choice1_gender2,choice1_education1,choice1_education2,choice1_education3,choice1_country1,choice1_country2,choice1_country3,choice1_country4,choice1_country5,choice1_country6,choice1_englishprof1,choice1_englishprof2,choice1_conviction1,choice1_conviction2,choice1_citizen1,choice1_citizen2
100,609,email,1,3.23,3.23,3.902,1,1,0,1,4,0,1,1,3,10,1,1,8,1,2,2,1,1,1,1,2,1,1,1,50,75,82,100,100,2,2,2,1,1,2,3,2,4,3,2,1,1,Female,Male,college degree,no high school,no high school,Mexico,Mexico,Afghanistan,Russia,Russia,Mexico,broken English,fluent English,no prior conviction,prior conviction (not voting related),,
100,5368,email,0.899999976,0.838,2.596,3.287,3,1,1,1,4,0,3,1,3,4,5,4,1,2,2,1,2,2,1,1,2,2,1,1,63,51,60,65,27,2,3,2,2,4,3,4,4,4,5,4,4,5,Male,Male,high school diploma,college degree,high school diploma,India,Afghanistan,Germany,India,Germany,Mexico,fluent English,broken English,no prior conviction,prior conviction (not voting related),,
100,871,email,0.699999988,0.843,2.032,2.591,3,1,1,1,1,0,2,1,3,1,4,3,11,3,1,1,1,2,2,1,1,2,2,1,2,4,5,6,3,3,4,4,4,4,4,5,5,4,5,3,2,3,Female,Female,high school diploma,high school diploma,college degree,Russia,Afghanistan,Mexico,Germany,Russia,China,broken English,broken English,no prior conviction,no prior conviction,,
100,615,email,0.899999976,1.639,1.639,2.422,1,1,0,1,1,0,3,1,3,10,2,1,2,2,1,1,1,1,2,1,2,2,1,1,100,100,100,100,100,2,1,4,1,2,1,5,5,5,5,2,1,1,Male,Male,college degree,college degree,college degree,Russia,Mexico,India,Mexico,China,India,broken English,broken English,prior conviction (not voting related),no prior conviction,,
100,13729,email,0.899999976,12.714,12.714,13.465,1,1,0,1,4,0,3,1,3,10,4,3,2,4,2,1,1,2,2,1,2,1,2,2,50,50,50,65,50,2,4,1,3,4,3,4,3,5,1,4,3,4,Female,Female,no high school,no high school,high school diploma,Russia,Mexico,Russia,China,India,China,broken English,fluent English,no prior conviction,no prior conviction,,
100,1023,email,1,5.355,5.355,6.601,1,1,1,1,1,0,3,1,3,10,5,3,2,2,1,2,2,2,1,2,2,1,1,2,90,88,86,87,82,3,3,2,2,3,2,3,2,4,3,3,3,3,Female,Male,college degree,college degree,no high school,Afghanistan,Mexico,Germany,India,China,Russia,fluent English,broken English,prior conviction (not voting related),no prior conviction,,
100,19744,email,1,4.353,4.353,5.345,1,1,0,1,1,0,2,1,3,10,2,2,8,1,2,2,2,1,1,2,1,2,2,1,70,80,80,80,80,2,3,2,1,1,2,2,1,4,2,2,1,2,Male,Male,no high school,college degree,no high school,India,China,Germany,Mexico,Germany,India,fluent English,fluent English,no prior conviction,prior conviction (not voting related),,
100,44300,email,1,4.31,5.391,7.89,2,1,0,1,1,0,3,1,3,1,4,3,11,1,2,1,1,1,2,2,1,2,2,2,100,100,100,100,100,3,4,2,3,3,3,4,3,5,2,1,1,1,Female,Female,high school diploma,no high school,no high school,China,Afghanistan,India,India,Mexico,China,broken English,broken English,prior conviction (not voting related),prior conviction (not voting related),,
100,1137,email,0.899999976,7.444,7.444,10.949,1,1,0,1,1,0,4,1,3,10,4,3,4,3,2,1,1,1,1,1,2,2,1,2,100,100,100,100,100,2,2,2,3,3,3,4,1,4,4,3,1,2,Female,Female,college degree,college degree,high school diploma,India,Germany,Germany,Mexico,Afghanistan,India,broken English,broken English,no prior conviction,prior conviction (not voting related),,
100,1439,email,0.899999976,3.072,4.264,5.407,3,1,0,2,1,0,3,1,2,2,3,1,10,2,1,1,2,2,2,1,1,1,2,2,50,55,55,55,55,2,3,2,2,2,2,3,3,4,4,2,1,2,Male,Female,no high school,no high school,high school diploma,Germany,China,Mexico,Mexico,China,Mexico,fluent English,fluent English,no prior conviction,no prior conviction,,
100,1003,email,1,28.994,28.994,30.343,1,1,1,1,1,0,4,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,100,100,100,100,100,5,4,2,1,3,1,2,2,2,2,1,1,1,Female,Female,no high school,no high school,high school diploma,Mexico,Russia,Germany,Mexico,Germany,Germany,broken English,fluent English,prior conviction (not voting related),prior conviction (not voting related),,
100,66945,email,1,2.439,2.439,3.453,1,1,0,1,1,0,3,2,1,8,2,2,8,1,1,2,1,1,2,1,1,2,2,2,85,85,85,85,90,2,2,2,1,3,1,3,2,2,3,1,1,2,Female,Male,no high school,college degree,high school diploma,Germany,Mexico,Russia,Germany,Mexico,Russia,fluent English,broken English,no prior conviction,no prior conviction,,
100,485,email,1,1.873,1.873,9.722,1,1,0,1,1,0,2,1,3,10,4,3,1,4,2,1,1,1,2,1,2,2,1,2,100,91,50,80,4,2,2,2,4,4,2,4,2,4,5,4,2,3,Male,Male,college degree,no high school,high school diploma,India,Russia,Afghanistan,India,Afghanistan,Russia,fluent English,fluent English,prior conviction (not voting related),prior conviction (not voting related),,
100,1819,email,1,2.078,2.078,3.293,1,1,0,1,1,0,3,1,3,1,6,3,2,3,2,1,2,2,1,1,1,2,2,1,100,100,100,100,100,2,4,2,3,5,4,3,2,3,2,1,1,1,Female,Male,college degree,no high school,high school diploma,China,Afghanistan,Russia,China,Mexico,Russia,fluent English,broken English,prior conviction (not voting related),no prior conviction,,
100,687,email,1,2.952,4.231,4.825,3,1,1,1,6,0,2,1,3,10,3,2,11,1,2,1,1,1,1,1,1,2,2,1,58,82,83,88,85,2,4,2,2,4,2,3,2,4,4,1,2,2,Female,Male,college degree,college degree,high school diploma,Russia,Germany,India,China,Afghanistan,Mexico,fluent English,broken English,no prior conviction,prior conviction (not voting related),,
100,608,email,0.800000012,1.288,1.288,2.904,1,1,0,1,1,0,2,1,3,7,3,2,1,4,2,2,1,2,1,2,2,1,2,1,61,100,100,100,80,3,4,3,2,2,4,4,4,5,5,5,4,5,Male,Male,high school diploma,college degree,high school diploma,China,Russia,Afghanistan,India,China,Mexico,fluent English,broken English,no prior conviction,prior conviction (not voting related),,
100,1682,email,1,4.977,7.927,8.7,4,1,1,1,1,0,3,1,3,10,1,1,1,3,1,2,1,1,2,2,2,1,2,2,100,100,100,100,100,4,2,2,1,2,1,4,2,3,2,1,1,1,Female,Male,high school diploma,high school diploma,high school diploma,Germany,Mexico,Afghanistan,Germany,Russia,Russia,broken English,broken English,no prior conviction,prior conviction (not voting related),,
100,1622,email,1,29.394,40.493,42.008,2,1,1,1,1,0,3,1,2,1,1,1,2,4,1,1,1,1,2,1,2,1,1,1,100,100,100,100,100,2,5,3,1,2,2,3,2,4,1,1,1,1,Female,Female,college degree,college degree,no high school,Mexico,Afghanistan,China,Russia,Germany,Russia,broken English,fluent English,prior conviction (not voting related),no prior conviction,,
100,2151,email,1,3.869,6.987,8.552,4,1,0,1,1,0,3,1,2,3,2,1,11,1,1,1,2,1,2,2,2,2,2,2,76,72,72,77,73,3,3,4,2,2,2,5,2,5,4,2,1,1,Male,Female,high school diploma,no high school,college degree,Russia,China,Germany,China,India,Germany,fluent English,broken English,no prior conviction,no prior conviction,,
100,2206,email,0.300000012,6.024,23.215,25.236,4,1,0,1,4,0,2,1,3,1,1,1,7,3,1,1,2,2,2,1,2,2,2,1,100,95,95,96,94,5,5,4,2,1,1,4,4,4,3,1,1,1,Female,Female,high school diploma,high school diploma,college degree,India,Germany,Germany,Russia,Afghanistan,China,broken English,fluent English,no prior conviction,prior conviction (not voting related),,
100,3001,email,0.899999976,3.093,3.093,5.156,1,1,0,1,1,0,2,1,3,1,2,2,11,1,1,2,1,2,1,2,2,1,2,1,100,85,85,60,70,1,4,2,1,2,3,4,3,3,4,3,3,4,Female,Male,high school diploma,high school diploma,high school diploma,India,Germany,Germany,Afghanistan,Russia,Germany,fluent English,fluent English,prior conviction (not voting related),prior conviction (not voting related),,
100,1394,email,1,7.347,7.347,8.901,1,1,0,1,1,0,3,1,3,6,3,2,2,2,1,2,2,2,2,2,1,2,1,2,49,71,70,70,71,4,2,1,2,1,1,5,5,4,5,2,2,2,Male,Male,high school diploma,no high school,no high school,Mexico,Germany,Russia,India,Mexico,Russia,broken English,fluent English,prior conviction (not voting related),prior conviction (not voting related),,
100,47859,email,0.899999976,17.898,20.28,21.361,2,1,1,2,4,0,5,1,3,3,3,2,8,2,2,1,1,2,1,2,1,1,1,2,69,33,51,69,80,2,1,3,1,3,3,2,3,3,3,3,3,3,Male,Male,college degree,college degree,high school diploma,Germany,Germany,India,Russia,Afghanistan,Mexico,broken English,broken English,no prior conviction,prior conviction (not voting related),,
100,1364,email,1,5.218,6.737,7.724,4,1,1,1,1,0,2,1,7,10,3,2,2,4,2,2,1,2,2,1,2,1,1,2,100,100,100,100,100,4,5,3,2,1,4,3,3,4,2,2,1,1,Female,Male,no high school,high school diploma,college degree,Mexico,Germany,India,China,Mexico,Germany,broken English,broken English,prior conviction (not voting related),no prior conviction,,
100,169277,email,0.800000012,6.233,6.233,7.031,1,1,0,1,1,0,3,1,3,1,2,2,10,2,2,2,2,2,2,1,2,1,2,1,100,100,100,100,100,2,3,2,2,1,2,5,5,5,5,3,3,4,Male,Female,no high school,high school diploma,high school diploma,India,Germany,Germany,Mexico,China,India,fluent English,fluent English,no prior conviction,no prior conviction,,
100,399,email,1,2.451,11.727,13.192,6,1,1,1,1,0,3,1,2,1,5,3,2,3,2,2,1,2,1,2,1,1,1,1,28,48,39,28,35,3,2,3,5,4,5,3,2,4,3,1,1,3,Male,Male,no high school,high school diploma,no high school,Germany,Mexico,Germany,Russia,Russia,China,fluent English,fluent English,prior conviction (not voting related),no prior conviction,,
100,522,email,1,1.233,19.388,20.452,4,1,0,1,1,0,3,1,3,1,1,1,11,1,2,2,1,2,2,1,1,1,2,2,12,100,100,100,100,1,1,2,1,,1,5,2,4,5,2,1,2,Female,Male,college degree,college degree,college degree,Russia,Russia,China,India,India,Mexico,fluent English,fluent English,prior conviction (not voting related),prior conviction (not voting related),,
100,786,email,0.899999976,4.115,6.081,24.788,4,1,0,1,1,0,3,1,3,1,1,1,11,2,1,2,2,2,2,2,2,1,1,1,66,75,72,54,74,3,4,3,2,2,1,4,3,5,4,2,3,1,Female,Female,no high school,high school diploma,no high school,China,Germany,Russia,China,Russia,Afghanistan,fluent English,fluent English,prior conviction (not voting related),prior conviction (not voting related),,
100,1045,email,0.899999976,64.6,64.6,66.318,1,1,0,1,2,0,3,1,3,8,1,2,1,4,1,1,2,1,2,1,2,2,1,2,49,60,60,60,60,2,3,2,2,2,2,4,3,4,4,2,1,2,Female,Male,college degree,college degree,college degree,Germany,Russia,Germany,Afghanistan,Russia,China,broken English,broken English,prior conviction (not voting related),prior conviction (not voting related),,
100,173306,email,0.899999976,1.377,3.184,16.722,3,1,0,1,4,0,3,1,2,1,3,2,11,1,2,2,2,1,2,2,1,2,2,2,100,100,100,100,100,3,3,3,1,1,2,5,5,4,5,2,3,4,Female,Female,college degree,high school diploma,no high school,India,Mexico,India,Afghanistan,Russia,Mexico,fluent English,fluent English,prior conviction (not voting related),prior conviction (not voting related),,
100,161889,email,1,28.52,28.52,29.339,1,1,0,1,1,1,3,1,2,10,3,3,1,3,1,2,2,2,2,2,1,2,2,2,100,100,100,100,100,2,4,3,2,4,1,2,2,2,3,2,1,2,Female,Female,no high school,college degree,college degree,Mexico,India,India,Mexico,Russia,Mexico,broken English,fluent English,no prior conviction,no prior conviction,,
100,826,email,,5.381,9.829,15.111,3,1,0,1,1,0,3,1,3,10,1,2,9,1,2,2,2,1,2,2,2,1,1,2,50,50,50,50,50,4,4,3,3,2,1,4,2,4,4,1,1,1,Female,Female,college degree,no high school,high school diploma,Afghanistan,Germany,Afghanistan,Afghanistan,Germany,Afghanistan,fluent English,fluent English,no prior conviction,no prior conviction,,
100,781,email,1,13.926,16.626,17.601,4,1,1,1,1,0,3,1,3,10,1,1,8,1,1,1,2,2,1,1,1,1,1,2,100,100,100,100,100,5,5,5,2,4,1,2,1,2,3,2,3,2,Male,Male,no high school,college degree,no high school,China,China,Afghanistan,Russia,Germany,Germany,fluent English,fluent English,prior conviction (not voting related),no prior conviction,,
100,1498,email,1,18.545,54.287,55.317,3,1,0,1,1,0,3,1,3,1,1,2,11,1,2,1,2,1,2,2,2,2,1,1,76,95,97,95,95,2,3,2,3,1,2,5,1,4,4,2,1,1,Male,Male,high school diploma,college degree,no high school,Germany,Germany,Russia,Germany,India,Afghanistan,fluent English,broken English,prior conviction (not voting related),prior conviction (not voting related),,
100,1056,email,1,0.927,22.154,22.938,9,1,0,1,1,0,3,1,3,1,3,3,11,1,2,2,1,1,1,2,1,2,1,1,100,100,100,100,100,2,2,3,1,3,2,3,3,5,4,3,2,3,Male,Female,college degree,college degree,college degree,Afghanistan,China,Germany,India,Russia,Mexico,broken English,fluent English,no prior conviction,prior conviction (not voting related),,
100,967,email,1,6.273,6.273,7.673,1,1,0,1,1,0,3,1,3,1,1,2,1,2,1,2,1,1,2,2,2,1,2,1,100,100,100,100,100,2,4,3,2,4,2,4,2,4,3,2,1,2,Female,Female,college degree,college degree,high school diploma,Afghanistan,India,Mexico,China,Russia,Germany,fluent English,broken English,prior conviction (not voting related),prior conviction (not voting related),,
100,175487,email,0.899999976,5.175,8.686,9.594,2,1,0,1,1,0,3,1,3,10,5,3,11,1,1,1,2,2,1,2,2,1,1,2,81,58,66,68,79,3,4,3,3,4,4,2,2,4,3,5,2,2,Male,Female,no high school,no high school,college degree,China,Russia,Afghanistan,Russia,Mexico,Mexico,broken English,broken English,prior conviction (not voting related),no prior conviction,,
100,1105,email,1,1.669,3.157,3.745,2,1,0,1,1,0,3,1,3,10,1,1,8,3,2,2,1,1,2,1,2,2,2,1,11,69,69,69,69,2,3,2,1,1,1,5,4,5,5,4,2,2,Male,Male,high school diploma,no high school,high school diploma,Mexico,Germany,Germany,Germany,Russia,Russia,fluent English,fluent English,no prior conviction,prior conviction (not voting related),,
100,1830,email,1,7.677,13.263,14.157,2,1,1,1,1,1,3,1,3,10,6,4,2,3,2,1,2,1,2,2,1,1,2,1,100,100,100,100,100,2,5,3,1,4,1,4,5,5,4,1,1,1,Male,Female,high school diploma,college degree,no high school,India,India,Afghanistan,Mexico,India,Russia,broken English,fluent English,no prior conviction,prior conviction (not voting related),,
100,2273,email,0.899999976,61.718,61.718,62.665,1,1,0,1,1,0,3,1,3,10,3,2,4,2,2,1,2,2,1,2,2,2,1,1,100,100,87,84,68,4,2,4,4,2,1,4,2,4,4,2,3,2,Female,Female,college degree,college degree,no high school,India,India,India,India,China,Mexico,fluent English,broken English,no prior conviction,prior conviction (not voting related),,
100,1427,email,1,5.98,17.285,17.673,2,1,0,1,4,0,3,1,3,10,3,2,9,2,2,2,1,2,2,2,1,1,1,1,90,90,90,90,90,2,4,2,1,2,2,4,3,5,4,1,2,2,Male,Female,college degree,high school diploma,high school diploma,Afghanistan,Russia,China,Afghanistan,Russia,Mexico,broken English,fluent English,prior conviction (not voting related),no prior conviction,,
100,1032,email,0.899999976,12.491,12.491,13.376,1,1,1,1,1,0,3,1,2,1,4,3,8,1,1,2,1,2,1,2,1,2,2,1,70,80,60,49,50,1,3,2,1,1,4,5,1,3,1,5,4,4,Female,Male,high school diploma,college degree,high school diploma,Germany,India,Russia,Afghanistan,China,India,fluent English,fluent English,no prior conviction,prior conviction (not voting related),,
100,189301,email,1,0.849,4.194,5.151,5,1,0,1,2,0,3,1,3,8,1,2,5,4,1,2,1,1,2,1,2,1,1,1,95,100,100,100,100,2,3,2,2,2,3,4,4,5,4,3,2,2,Male,Male,high school diploma,no high school,no high school,Mexico,Mexico,China,India,Russia,India,fluent English,broken English,no prior conviction,prior conviction (not voting related),,
100,686,email,1,2.648,4.595,5.334,2,1,1,1,1,0,3,1,3,2,4,2,2,3,1,2,2,2,2,2,2,1,2,2,50,75,85,75,70,2,4,2,2,1,1,5,5,5,4,4,2,2,Male,Female,college degree,no high school,high school diploma,Russia,Afghanistan,India,China,Mexico,India,fluent English,broken English,no prior conviction,prior conviction (not voting related),,
100,826,email,1,4.393,4.393,5.248,1,1,1,1,1,0,3,1,3,10,2,2,4,2,1,2,2,1,2,2,2,2,2,2,50,84,100,100,78,4,4,2,1,1,2,5,2,5,5,4,3,3,Female,Male,no high school,high school diploma,college degree,Germany,Afghanistan,China,India,Mexico,Mexico,broken English,broken English,prior conviction (not voting related),prior conviction (not voting related),,
100,1403,email,1,3.396,3.396,4.67,1,1,1,1,1,0,2,1,3,10,3,3,4,2,2,2,1,2,1,1,2,2,1,2,85,70,70,75,50,2,3,2,3,3,2,2,3,3,3,2,1,2,Male,Female,no high school,high school diploma,no high school,Germany,Mexico,Germany,Mexico,Germany,India,fluent English,fluent English,prior conviction (not voting related),prior conviction (not voting related),,
100,172095,email,1,7.048,7.531,8.284,2,1,1,1,1,0,3,1,3,7,4,3,2,4,1,2,1,2,2,2,1,2,2,2,100,5,1,22,3,2,4,3,5,5,5,5,4,5,5,3,1,4,Male,Female,no high school,college degree,no high school,India,Germany,Russia,China,Mexico,China,fluent English,broken English,no prior conviction,no prior conviction,,
100,511,email,1,11.328,11.328,13.823,1,1,1,1,1,0,3,1,3,10,5,4,10,2,1,1,1,2,2,2,1,1,2,1,50,50,50,50,50,3,2,3,3,4,4,5,5,5,4,4,2,4,Female,Male,no high school,high school diploma,high school diploma,Germany,China,India,Russia,India,China,fluent English,fluent English,no prior conviction,no prior conviction,,
100,859,email,1,2.61,2.61,3.434,1,1,0,1,2,0,3,1,3,1,4,1,2,3,1,2,1,1,1,2,2,1,2,1,49,99,88,61,92,4,3,4,1,2,1,5,5,5,5,4,1,4,Male,Female,no high school,no high school,high school diploma,China,Afghanistan,China,Russia,Russia,China,broken English,fluent English,no prior conviction,no prior conviction,,
100,1521,email,0.899999976,81.878,81.878,83.973,1,1,0,1,1,0,3,1,7,10,3,2,11,1,2,2,2,1,2,1,1,1,2,2,50,50,50,50,50,1,3,1,2,3,2,4,3,5,4,2,1,2,Female,Male,high school diploma,no high school,college degree,Afghanistan,India,Afghanistan,India,Mexico,Afghanistan,fluent English,broken English,prior conviction (not voting related),prior conviction (not voting related),,
100,1336,email,0.899999976,2.019,14.802,15.616,2,1,0,1,4,0,2,1,3,10,1,1,11,1,2,2,1,1,2,2,1,1,2,1,68,90,90,100,100,1,3,2,1,1,1,3,4,5,3,2,1,1,Female,Female,high school diploma,no high school,college degree,India,Germany,China,Germany,Germany,India,fluent English,fluent English,prior conviction (not voting related),prior conviction (not voting related),,
100,3286,email,1,6.3,6.3,7.468,1,1,1,1,1,0,3,1,3,10,3,3,10,3,1,2,2,2,2,1,2,1,1,2,100,100,100,100,100,2,3,2,2,3,3,3,4,5,4,4,3,4,Male,Male,no high school,college degree,no high school,Germany,China,Germany,Germany,Germany,China,broken English,fluent English,prior conviction (not voting related),prior conviction (not voting related),,
100,1204,email,1,7.768,7.768,8.914,1,1,1,1,1,0,3,1,3,10,5,3,2,2,1,1,1,2,1,1,1,2,2,2,100,100,100,100,100,1,2,2,2,3,1,5,3,5,4,1,1,2,Female,Female,high school diploma,college degree,college degree,India,Afghanistan,Russia,India,Afghanistan,Russia,broken English,broken English,prior conviction (not voting related),no prior conviction,,
100,1702,email,0.899999976,4.255,4.255,14.513,1,1,0,1,2,0,3,1,3,8,3,2,10,4,2,2,2,1,2,2,2,1,1,1,40,100,91,84,100,2,3,4,1,4,2,3,3,5,2,4,1,2,Female,Female,no high school,college degree,high school diploma,China,Russia,Germany,China,China,China,fluent English,fluent English,no prior conviction,no prior conviction,,
100,847,email,0.899999976,2.824,2.824,4.07,1,1,1,1,1,0,5,1,3,1,1,1,9,1,2,2,2,2,1,1,1,2,2,1,62,62,60,60,60,4,3,3,1,3,2,3,1,3,2,1,1,1,Male,Male,college degree,college degree,college degree,Germany,Germany,Mexico,Russia,Afghanistan,Afghanistan,fluent English,fluent English,no prior conviction,prior conviction (not voting related),,
100,155778,email,0.899999976,1.73,1.73,2.29,1,1,1,1,2,0,3,1,2,10,4,1,10,1,1,2,1,1,2,2,1,1,2,1,70,100,100,100,85,2,5,2,3,2,1,4,4,4,3,2,1,2,Male,Male,college degree,college degree,college degree,Afghanistan,India,Mexico,Mexico,Russia,India,broken English,broken English,prior conviction (not voting related),prior conviction (not voting related),,
100,3198,email,0.899999976,3.342,8.679,11.104,2,1,0,1,1,0,2,1,3,1,3,1,1,2,1,1,1,2,2,1,1,2,1,2,70,100,100,100,87,1,2,2,1,1,2,3,2,3,3,1,2,2,Female,Male,high school diploma,college degree,high school diploma,China,India,Russia,Germany,Mexico,China,fluent English,broken English,prior conviction (not voting related),no prior conviction,,
100,267484,email,1,0.606,9.723,12.46,6,1,1,1,2,0,3,1,3,1,4,3,5,4,2,2,1,2,2,1,2,2,2,1,32,100,54,100,100,3,3,4,1,3,1,4,4,4,3,4,3,5,Female,Female,college degree,college degree,college degree,Mexico,Russia,India,China,Germany,Russia,fluent English,broken English,no prior conviction,no prior conviction,,
100,31102,email,1,3.143,6.126,6.811,4,1,1,1,1,0,3,1,3,6,1,1,11,1,1,1,2,2,2,1,1,1,1,1,80,80,80,75,80,1,4,3,1,1,2,5,4,5,5,1,2,4,Male,Female,no high school,college degree,college degree,Germany,Russia,Mexico,Russia,Germany,Germany,fluent English,broken English,no prior conviction,prior conviction (not voting related),,
100,360774,email,1,3.256,3.256,4.449,1,1,0,1,1,1,5,1,2,1,1,1,4,4,2,1,1,2,2,1,2,2,2,1,100,100,100,100,100,4,2,3,1,1,1,2,2,1,3,2,1,1,Male,Male,high school diploma,no high school,college degree,Mexico,China,China,Russia,Russia,Afghanistan,broken English,fluent English,prior conviction (not voting related),prior conviction (not voting related),,
100,372817,email,1,1.913,1.913,2.742,1,1,1,1,1,0,3,1,2,10,1,2,9,1,1,1,2,2,2,1,2,2,1,2,95,45,88,100,78,3,1,5,3,5,1,3,1,4,2,1,1,1,Male,Male,high school diploma,no high school,no high school,Russia,India,Afghanistan,China,India,Russia,fluent English,fluent English,prior conviction (not voting related),prior conviction (not voting related),,
100,3995,email,1,10.892,12.449,13.897,2,1,0,1,2,0,3,1,3,9,2,1,8,1,2,1,1,2,1,1,2,2,1,1,90,100,97,92,100,4,5,4,2,2,1,4,4,4,4,4,1,1,Male,Male,high school diploma,high school diploma,college degree,Afghanistan,China,Afghanistan,Mexico,India,Germany,broken English,broken English,no prior conviction,prior conviction (not voting related),,
100,236199,email,1,1.935,3.959,4.633,3,1,1,1,1,1,3,1,3,1,5,4,1,2,1,1,1,2,2,1,1,1,1,2,85,80,85,80,80,2,3,3,2,3,2,2,4,5,4,3,3,3,Male,Male,college degree,college degree,college degree,Germany,Germany,Afghanistan,China,Russia,Afghanistan,fluent English,fluent English,prior conviction (not voting related),prior conviction (not voting related),,
100,437353,email,0.899999976,7.793,8.994,9.56,2,1,1,1,2,0,3,1,3,1,3,3,8,1,1,1,1,2,1,2,2,1,2,2,51,100,77,82,80,1,4,3,4,3,3,4,4,5,4,5,4,1,Male,Female,no high school,no high school,college degree,China,China,Russia,Afghanistan,Germany,Russia,broken English,fluent English,no prior conviction,prior conviction (not voting related),,
100,1066,email,1,10.265,10.265,11.74,1,1,0,1,2,0,2,1,3,3,3,2,5,4,1,1,1,1,1,1,2,2,2,1,73,100,89,88,100,2,2,2,1,1,3,3,4,3,4,2,3,4,Female,Male,no high school,high school diploma,high school diploma,India,Afghanistan,China,China,Russia,Afghanistan,fluent English,broken English,no prior conviction,prior conviction (not voting related),,
100,1585,email,1,10.371,15.482,16.911,4,1,0,1,4,0,1,1,3,10,3,3,11,1,1,1,1,2,1,2,1,1,1,2,66,66,66,66,66,4,3,3,3,3,3,4,3,3,2,2,1,2,Female,Male,no high school,high school diploma,high school diploma,Mexico,India,China,Mexico,China,Afghanistan,broken English,broken English,prior conviction (not voting related),no prior conviction,,
100,618,email,1,2.011,3.533,4.333,3,1,1,1,1,0,2,1,2,8,7,4,2,2,2,1,2,2,2,1,1,2,2,2,75,94,94,84,81,2,3,2,3,4,3,4,4,5,4,2,2,3,Female,Male,high school diploma,high school diploma,no high school,Russia,China,China,India,Afghanistan,China,fluent English,fluent English,no prior conviction,prior conviction (not voting related),,
100,701,email,1,2.361,2.361,3.376,1,1,0,1,1,0,3,1,2,1,3,2,1,3,2,1,1,1,2,1,1,1,1,2,81,83,85,83,83,3,3,3,2,2,1,3,2,4,2,2,1,2,Male,Male,no high school,college degree,high school diploma,Afghanistan,Russia,India,Russia,India,Russia,broken English,fluent English,prior conviction (not voting related),no prior conviction,,
100,712,email,1,0.964,2.899,3.753,2,1,1,1,3,0,4,1,2,1,1,1,8,1,1,1,2,1,2,1,1,2,2,1,34,100,70,69,85,2,1,2,1,1,1,3,5,4,3,1,1,1,Male,Female,high school diploma,no high school,college degree,Russia,Germany,India,Russia,Mexico,China,broken English,broken English,prior conviction (not voting related),prior conviction (not voting related),,
100,500852,email,1,2.399,2.399,3.088,1,1,0,1,4,0,2,1,2,9,1,2,5,3,2,2,1,1,1,1,2,2,2,2,61,100,100,100,100,3,5,3,1,1,1,3,4,4,4,2,4,2,Male,Female,high school diploma,no high school,college degree,Mexico,China,Germany,China,Mexico,Germany,fluent English,fluent English,no prior conviction,prior conviction (not voting related),,
100,696,email,0.899999976,3.583,6.964,8.276,4,1,0,1,1,0,3,1,3,10,1,1,9,1,1,1,2,2,2,2,1,1,2,2,50,50,50,50,50,3,1,3,2,1,2,4,2,5,4,1,2,2,Male,Male,college degree,college degree,college degree,India,Mexico,Russia,China,Germany,Russia,fluent English,fluent English,prior conviction (not voting related),no prior conviction,,
100,993,email,1,2.573,2.573,6.281,1,1,0,1,1,0,3,1,3,9,7,5,2,3,1,1,2,1,2,2,2,2,2,2,50,55,50,50,64,3,3,3,3,5,4,2,2,4,2,4,4,5,Female,Female,college degree,high school diploma,high school diploma,India,Afghanistan,Mexico,Afghanistan,Mexico,India,broken English,fluent English,prior conviction (not voting related),no prior conviction,,
100,914,email,1,2.794,4.234,5.226,2,1,0,1,1,0,3,1,3,10,4,2,2,4,1,2,1,2,1,1,1,2,2,1,55,90,90,89,100,1,5,3,2,1,1,3,1,5,4,3,3,3,Female,Female,no high school,high school diploma,college degree,Germany,Mexico,India,Afghanistan,Mexico,Afghanistan,broken English,broken English,prior conviction (not voting related),no prior conviction,,
100,528838,email,1,5.059,11.376,12.136,5,1,1,1,1,0,3,1,3,1,1,2,2,1,2,2,2,1,1,1,2,1,1,2,50,50,50,50,50,3,5,3,2,2,4,3,2,4,2,1,1,1,Female,Male,college degree,high school diploma,high school diploma,Mexico,Afghanistan,India,China,Germany,Afghanistan,fluent English,fluent English,no prior conviction,no prior conviction,,
100,620,email,0.899999976,2.763,4.099,4.91,3,1,1,1,4,0,3,1,3,10,4,3,1,2,1,1,1,2,2,1,1,1,1,2,51,50,50,50,50,2,3,2,3,3,2,5,5,5,5,5,2,4,Female,Female,high school diploma,college degree,college degree,Russia,Russia,Afghanistan,Russia,Afghanistan,Germany,broken English,broken English,prior conviction (not voting related),prior conviction (not voting related),,
